cosmosvaloper,cosmos,moniker,pubkey,address,cosmosvalcons,bonded,jailed,left_active_set,left_heights,joined_active_set,joined_heights,jailed_during_period,jailed_time,jailed_block,jailed_reason
cosmosvaloper1m3rmew9w40nk5t455lu6qzw3uqumyxt5rr87w7,cosmos1m3rmew9w40nk5t455lu6qzw3uqumyxt5xhntzd,SG-1,/N3CEfSos/XWu08hstCWC6nqbWnkkI77Czgk1u3DHWU=,6ACF1A6C0FDF5A7D9FF680C8073F42A66E05AB89,cosmosvalcons1dt835mq0mad8m8lksryqw06z5ehqt2uf5rhtm8,False,True,False,,False,,False,,,
cosmosvaloper1mjn0y5hnwdatp99cxn5m248a8fxuy8rnfljqzw,cosmos1mjn0y5hnwdatp99cxn5m248a8fxuy8rnvtx4wa,ahnyoungjun-lab,0OJ8fdkUemRExLNQ3jdHeeed3Q14oPXIFR7SS2RRIjg=,7D0CE134498CD0C73F5182E2928EA99201022BD5,cosmosvalcons105xwzdzf3ngvw063st3f9r4fjgqsy2740eprdc,False,True,False,,False,,False,,,
cosmosvaloper1mnme22lrs5skkwxup8wn2r22uag48zup0kj7jr,cosmos1mnme22lrs5skkwxup8wn2r22uag48zup2zxt7s,cosmospl,LKAf+GIg3ssmlzVUcEc+DBfN6z4Stw+8Fi3dYvSyRDc=,AB892A41205EEAE28E54A91380B1FDCBE1F45899,cosmosvalcons14wyj5sfqtm4w9rj54yfcpv0ae0slgkyew642cy,False,True,False,,False,,False,,,
cosmosvaloper1m4xceeelaklwnpw6tmf4awguqrykxunacdw3y3,cosmos1m4xceeelaklwnpw6tmf4awguqrykxunaae6ygz,testnet-Compass,mFCmdNFDZ2e7K2823pW+ilBt+AiPJM7YxPpWGDT88nM=,3E82ADE2627F88632C222E59B704BE14B07BE029,cosmosvalcons186p2mcnz07yxxtpz9evmwp97zjc8hcpf68ruvs,False,True,False,,False,,False,,,
cosmosvaloper1mke3arxpxxwddp73d2lqclezr8cqk6q9yfp5as,cosmos1mke3arxpxxwddp73d2lqclezr8cqk6q9pa4p3r,superjax,ej9DD0+Pgn1Ha+Xx7xNvcLsKWE2Wd2KhuoYB+cidaKo=,D0E9EB754A6B9500C94B89D19D57CAFF1E0ECF9F,cosmosvalcons16r57ka22dw2spj2t38ge6472lu0qanul2438zu,False,True,False,,False,,False,,,
cosmosvaloper1m68vt35dhvgypxhdydx5n5qd4j6n9n24xdq66q,cosmos1m68vt35dhvgypxhdydx5n5qd4j6n9n24re50kn,testingK8sValidator-02,UNsn6ARJiZcVbDEUT24gVT3AGFNbOHpNywFiPvpI9Hc=,D007F91E36E9A9A6DF11BD3001D647EFC0277B26,cosmosvalcons16qrlj83kax56dhc3h5cqr4j8alqzw7exgzht4l,False,True,False,,False,,False,,,
cosmosvaloper1m6dt6qd04x5f0ws5ceyup5jwnnkyn48mwtrgev,cosmos1m6dt6qd04x5f0ws5ceyup5jwnnkyn48mtlha4l,denise2,CUhDkYiZc3LOHQM3RAYMkiUub3wZX0u9euHpYO61gLM=,378230ED6EC03FCF94E229C17C39308F81CBC192,cosmosvalcons1x7prpmtwcqlul98z98qhcwfs37quhsvjcglxrg,False,True,False,,False,,False,,,
cosmosvaloper1mmluak7cwdvvnnfl88v6r3ymxvflfwkxxrh97h,cosmos1mmluak7cwdvvnnfl88v6r3ymxvflfwkxrhrsjy,casper,oyRM8sH9MR9agA5gZrntbhx+zvXnge9CtAlrMnCv5I0=,6C77CBFD4A97DA7B838F87E83A211AF66FAF5662,cosmosvalcons1d3muhl22jld8hqu0sl5r5gg67eh674nzyrw9t5,False,True,False,,False,,False,,,
cosmosvaloper1ujywrlfxky6st4svv5t69d250lplqpmrdk6ds6,cosmos1ujywrlfxky6st4svv5t69d250lplqpmrgzwcuf,ChainTools,Mw7S2AYgvAb4cbYKGLgrjv1Y/NkodnsA3WitXoMPO4E=,DCE8B4E0C2F4B40F98DE88641CAC03B2DAC69D44,cosmosvalcons1mn5tfcxz7j6qlxx73pjpetqrktdvd82yng7qrq,True,False,False,,False,,False,,,
cosmosvaloper1ucn7e6r969u7srwu9mek2x6xvu0dh73yrqpl33,cosmos1ucn7e6r969u7srwu9mek2x6xvu0dh73yx542az,HashQuark,NTSChQwpbbn7nZxskkMiPt9p27Icj0yEBJabWHGppA0=,E5D44ED80DF03237A29ECC0335D21CDD0BCC7CDA,cosmosvalcons1uh2yakqd7qer0g57espnt5sum59uclx6cx6pl3,False,True,False,,False,,False,,,
